SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250001931763;LUIS OTAVIO CORREA VIEIRA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;SÓCIO PROPRIETÁRIO DE EMPRESA;500,00
250001931763;LUIS OTAVIO CORREA VIEIRA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;NUMERÁRIO EM MEU PODER;23500,00
250001931763;LUIS OTAVIO CORREA VIEIRA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;FINANCIAMENTO MOTO YAMAHA ANO 2023;3780,00
250001931763;LUIS OTAVIO CORREA VIEIRA;BOITUVA;VEREADOR;PSD;Caderneta de poupança;NUMERÁRIO EM MEU PODER ;4158,30
250001931763;LUIS OTAVIO CORREA VIEIRA;BOITUVA;VEREADOR;PSD;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MOTO YAMAHA ANO 2023;23990,00
250001931579;CARLOS FERREIRA DOS SANTOS;BOITUVA;VEREADOR;CIDADANIA;Casa;imovel residencial;900000,00
250002139311;LUCAS VICENTE LOPES NETTO;BOITUVA;VEREADOR;MDB;Apartamento;Apartamento;200000,00
250002139315;ROSEMARY BARROS SILVA;BOITUVA;VEREADOR;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;1 Carro Onix Chevrolet;47000,00
250002138896;ARÃµO AMORIM DOS SANTOS;BOITUVA;VEREADOR;AVANTE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;MOTO YAMAHA NEO AT 115;6000,00
250002138885;JEFFERSON COVRE;BOITUVA;VEREADOR;AVANTE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Automovel Chevrolet - Onix ACT ano modelo 2019;68000,00
250002130883;JOSÃµ MARIA CANCIAN;BOITUVA;VEREADOR;PSB;Depósito bancário em conta corrente no País;Saldo em conta - Banco Itaú;1900,00
250001931858;FERNANDO RIBEIRO NEVES;BOITUVA;VEREADOR;PP;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;carro celta;20000,00
250001931858;FERNANDO RIBEIRO NEVES;BOITUVA;VEREADOR;PP;Casa;chacara com uma casa;350000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Crédito decorrente de empréstimo;CREDITO CONCEDIDO A PESSOA FISICA ;90000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Outros bens imóveis;PREDIO NO BAIRRO RESIDENCIAL ÁGUA BRANCA;439632,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Outros bens imóveis;IMÓVEL NO BAIRRO RESIDENCIAL NOVO MUNDO;356000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Outros bens imóveis;IMÓVEL NO BAIRRO RESIDENCIAL NOVO MUNDO;683598,23
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Outros bens imóveis;IMÓVEL NO BAIRRO RESIDENCIAL NOVO MUNDO;778000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Quotas ou quinhões de capital;QUOTAS OU QUINHÕES DE EMPRESA;10000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Depósito bancário em conta corrente no País;NUMERÁRIO EM CONTA BANCÁRIA;10,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO NO ESTADO DE GOIAS ;268000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO  NO BAIRRO RESIDENCIAL NOVO MUNDO;150000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO NO ESTADO DE GOIAS;204000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO NO ESTADO DE GOIAS;256000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO NO ESTADO DE GOIAS;300000,00
250001931368;LUIZ CRISPIM DA SILVA;BOITUVA;VEREADOR;UNIÃµO;Terreno;UM LOTE DE TERRENO NO ESTADO DE GOIAS;250000,00
250001931704;TIAGO JOSE LEME LISBOA;BOITUVA;VEREADOR;PODE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Um automovel ;8500,00
250001931704;TIAGO JOSE LEME LISBOA;BOITUVA;VEREADOR;PODE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Um mota ;7000,00
